음식ID,이름,탄,단,지
1,피자_마라 피자 마라링 (R),,17.04,
2,피자_마라 피자 석쇠 (L),,16.09,
3,피자_마라 피자 석쇠 (R),,16.36,
4,피자_마라 피자 씬바샤삭 (L),,11.59,
5,피자_마라 피자 씬바샤삭 (R),,12.87,
6,피자_마르게리타 피자 오리지널 파마산 치즈 (L),,14.12,
7,피자_마르게리타 피자 오리지널 파마산 치즈 (M),,14.93,
8,피자_마르게리타 피자 씬 (L),,15.91,
9,피자_마르게리타 피자 오리지널 (L),,13.48,
10,피자_마르게리타 피자 오리지널 (M),,14.25,
11,피자_마르게리타 피자 팬 (L),,12.28,
12,피자_만수르 피자 (M),,6.9,
13,피자_매달매달 피자 (L),,13.85,
14,피자_맵슐랭 피자 (12인치),,10.67,
15,피자_맵슐랭 피자 (7인치),,11.71,
16,피자_맵 피자 (L),,13.29,
17,피자_멕시칸맥쉬림프 피자 (L),,9.14,
18,피자_모짜렐라치즈 피자,38.14,11.34,
19,피자_미니고구마무스 피자,26.8,10.31,
20,피자_립스테이크&쉬림프 피자 프리미엄 오리지널 (L),,12.18,
21,피자_립스테이크&쉬림프 피자 프리첼 치즈 (L),,10.07,
22,피자_마가리타 피자 골드링 (F),,12.49,
23,피자_마가리타 피자 골드링 (L),,12.25,
24,피자_마가리타 피자 골드링 (P),,12.27,
25,피자_마가리타 피자 골드링씬 (F),,11.07,
26,피자_마가리타 피자 씬 (F),,11.83,
27,피자_마가리타 피자 오리지널 (F),,11.14,
28,피자_마가리타 피자 오리지널 (L),,10.9,
29,피자_마가리타 피자 오리지널 (P),,10.96,
30,피자_마가리타 피자 오리지널 (R),,11.09,
31,피자_마가리타 피자 치즈롤 (F),,12.36,
32,피자_마가리타 피자 치즈롤 (L),,12.33,
33,피자_마가리타 피자 치즈롤 (P),,12.27,
34,피자_마라 피자 골드스윗 (L),,15.32,
35,피자_마라 피자 골드스윗 (R),,15.07,
36,피자_마라 피자 리코타링 (L),,15.58,
37,피자_마라 피자 리코타링 (R),,16.15,
38,피자_마라 피자 마라링 (L),,16.67,
39,피자_리코타 페퍼로니 킹덤 피자 씬 (M),20.8,11.9,18.76
40,피자_리코타 페퍼로니 킹덤 피자 오리지널 (L),28.34,10.9,11.12
41,피자_리코타 페퍼로니 킹덤 피자 오리지널 (M),29.31,10.0,10.89
42,피자_리코타 페퍼로니 킹덤 피자 치즈버스트 나폴리 (L),22.77,11.8,14.35
43,피자_리코타 페퍼로니 킹덤 피자 치즈버스트 오리지널 (L),24.89,11.0,13.37
44,피자_리코타 페퍼로니 킹덤 피자 화이버 버스트 오리지널 (L),28.2,11.0,11.65
45,피자_리코타 페퍼로니 킹덤 피자 화이버 엣지 오리지널 (L),25.92,10.9,12.7
46,피자_리코타 페퍼로니 킹덤 피자 화이버 엣지 오리지널 (M),26.68,11.9,12.51
47,피자_립스테이크 피자 리치골드 (L),,11.61,
48,피자_립스테이크 피자 리치골드 (M),,11.73,
49,피자_립스테이크 피자 프리미엄 오리지널 (L),,12.05,
50,피자_립스테이크 피자 프리미엄 오리지널 (M),,12.05,
51,피자_립스테이크 피자 더블치즈크러스트 (L),,13.49,
52,피자_립스테이크 피자 더블치즈크러스트 (M),,14.0,
53,피자_립스테이크 피자 프리첼 치즈 (L),,9.93,
54,피자_립스테이크 피자 프리첼 치즈 (M),,9.82,
55,피자_립스테이크&쉬림프 피자 더블치즈크러스트 (L),,13.46,
56,피자_립스테이크&쉬림프 피자 리치골드 (L),,11.73,
57,피자_리얼불고기 피자 씬 (M),26.05,13.23,13.89
58,피자_리얼불고기 피자 오리지널 (M),34.66,11.79,8.0
59,피자_리얼불고기 피자 치즈버스트 나폴리 (L),22.9,13.0,12.07
60,피자_리얼불고기 피자 치즈버스트 오리지널 (L),27.48,12.0,10.86
61,피자_리치고구마치킨 피자 씬바샤삭 (L),,12.72,
62,피자_리치고구마치킨 피자 씬바샤삭 (R),,12.31,
63,피자_리치골드 피자 (L),37.16,20.5,14.02
64,피자_리코타 페퍼로니 킹덤 피자 나폴리 (L),26.84,11.0,11.86
65,피자_리코타 페퍼로니 킹덤 피자 나폴리 (M),24.95,12.0,12.12
66,피자_리코타 페퍼로니 킹덤 피자 더블치즈 페퍼로니 엣지 (L),24.13,12.41,14.13
67,피자_리코타 페퍼로니 킹덤 피자 더블치즈 페퍼로니 엣지 (M),23.92,11.43,13.91
68,피자_리코타 페퍼로니 킹덤 피자 더블치즈 엣지 (L),25.94,11.9,13.85
69,피자_리코타 페퍼로니 킹덤 피자 더블치즈 엣지 (M),25.73,11.0,13.07
70,피자_리코타 페퍼로니 킹덤 피자 슈퍼시드 화이버 오리지널 (L),31.84,10.0,9.95
71,피자_리코타 페퍼로니 킹덤 피자 슈퍼시드 화이버 오리지널 (M),30.36,10.8,10.6
72,피자_리코타 페퍼로니 킹덤 피자 슈화 더블치즈 페퍼로니 엣지 (L),26.51,11.45,12.96
73,피자_리코타 페퍼로니 킹덤 피자 슈화 더블치즈 페퍼로니 엣지 (M),25.04,12.31,13.84
74,피자_리코타 페퍼로니 킹덤 피자 씬 (L),21.39,11.0,18.61
75,피자_레드핫치킨 피자,,13.94,
76,피자_레드핫커리 피자 (L),,13.15,
77,피자_리얼 더블 불고기 피자 (XL),,16.57,
78,피자_리얼고구마 피자 (L),,10.07,
79,피자_리얼고구마 피자 (L),,10.57,
80,피자_리얼미트 피자 (L),,13.26,
81,피자_리얼불고기 피자 나폴리 (M),29.69,12.66,9.18
82,피자_리얼불고기 피자 더블치즈 페퍼로니 엣지 (L),26.03,14.31,11.11
83,피자_리얼불고기 피자 더블치즈 페퍼로니 엣지 (M),26.62,13.47,11.31
84,피자_리얼불고기 피자 더블치즈 엣지 (L),26.84,13.9,10.27
85,피자_리얼불고기 피자 더블치즈 엣지 (M),26.44,13.1,11.01
86,피자_리얼불고기 피자 슈퍼시드 화이버 버스트 오리지널 (L),26.9,13.63,11.55
87,피자_리얼불고기 피자 슈퍼시드 화이버 엣지 오리지널 (L),26.03,13.74,8.13
88,피자_리얼불고기 피자 슈퍼시드 화이버 엣지 오리지널 (M),25.15,14.54,7.86
89,피자_리얼불고기 피자 슈퍼시드 화이버 오리지널 (L),30.28,11.0,9.46
